Month,3rd,5th,10th,25th,50th,75th,90th,95th,97th,99th
0,32.1,32.4,32.8,33.6,34.5,35.3,36.1,36.6,36.9,37.4
1,35.1,35.4,35.8,36.5,37.3,38.1,38.8,39.2,39.5,40
2,36.9,37.2,37.6,38.3,39.1,39.9,40.6,41.1,41.3,41.9
3,38.3,38.6,39,39.7,40.5,41.3,42,42.5,42.7,43.3
4,39.4,39.7,40.1,40.8,41.6,42.4,43.2,43.6,43.9,44.4
5,40.3,40.6,41,41.7,42.6,43.4,44.1,44.5,44.8,45.4
6,41,41.3,41.8,42.5,43.3,44.2,44.9,45.3,45.6,46.2
7,41.7,42,42.4,43.1,44,44.8,45.6,46,46.3,46.8
8,42.2,42.5,42.9,43.7,44.5,45.4,46.1,46.6,46.9,47.4
9,42.6,42.9,43.4,44.2,45,45.8,46.6,47.1,47.4,47.9
10,43,43.3,43.8,44.6,45.4,46.3,47,47.5,47.8,48.4
11,43.4,43.7,44.1,44.9,45.8,46.6,47.4,47.9,48.2,48.7
12,43.6,44,44.4,45.2,46.1,46.9,47.7,48.2,48.5,49.1
13,43.9,44.2,44.7,45.5,46.3,47.2,48,48.5,48.8,49.3
14,44.1,44.4,44.9,45.7,46.6,47.5,48.3,48.7,49,49.6
15,44.3,44.7,45.1,45.9,46.8,47.7,48.5,49,49.3,49.8
16,44.5,44.8,45.3,46.1,47,47.9,48.7,49.2,49.5,50.1
17,44.7,45,45.5,46.3,47.2,48.1,48.9,49.4,49.7,50.3
18,44.9,45.2,45.7,46.5,47.4,48.3,49.1,49.6,49.9,50.5
19,45,45.3,45.8,46.6,47.5,48.4,49.2,49.7,50,50.6
20,45.2,45.5,46,46.8,47.7,48.6,49.4,49.9,50.2,50.8
21,45.3,45.6,46.1,46.9,47.8,48.7,49.6,50.1,50.4,51
22,45.4,45.8,46.3,47.1,48,48.9,49.7,50.2,50.5,51.1
23,45.6,45.9,46.4,47.2,48.1,49,49.9,50.3,50.7,51.3
24,45.7,46,46.5,47.3,48.3,49.2,50,50.5,50.8,51.4
25,45.8,46.1,46.6,47.5,48.4,49.3,50.1,50.6,50.9,51.6
26,45.9,46.2,46.7,47.6,48.5,49.4,50.3,50.8,51.1,51.7
27,46,46.3,46.8,47.7,48.6,49.5,50.4,50.9,51.2,51.8
28,46.1,46.5,47,47.8,48.7,49.7,50.5,51,51.3,51.9
29,46.2,46.6,47.1,47.9,48.8,49.8,50.6,51.1,51.4,52.1
30,46.3,46.6,47.1,48,48.9,49.9,50.7,51.2,51.6,52.2
31,46.4,46.7,47.2,48.1,49,50,50.8,51.3,51.7,52.3
32,46.5,46.8,47.3,48.2,49.1,50.1,50.9,51.4,51.8,52.4
33,46.6,46.9,47.4,48.3,49.2,50.2,51,51.5,51.9,52.5
34,46.6,47,47.5,48.3,49.3,50.3,51.1,51.6,52,52.6
35,46.7,47.1,47.6,48.4,49.4,50.3,51.2,51.7,52,52.7
36,46.8,47.1,47.6,48.5,49.5,50.4,51.3,51.8,52.1,52.8
37,46.9,47.2,47.7,48.6,49.5,50.5,51.4,51.9,52.2,52.8
38,46.9,47.3,47.8,48.6,49.6,50.6,51.4,52,52.3,52.9
39,47,47.3,47.8,48.7,49.7,50.6,51.5,52,52.4,53
40,47,47.4,47.9,48.8,49.7,50.7,51.6,52.1,52.4,53.1
41,47.1,47.4,48,48.8,49.8,50.8,51.7,52.2,52.5,53.2
42,47.2,47.5,48,48.9,49.9,50.8,51.7,52.2,52.6,53.2
43,47.2,47.6,48.1,49,49.9,50.9,51.8,52.3,52.7,53.3
44,47.3,47.6,48.1,49,50,51,51.9,52.4,52.7,53.4
45,47.3,47.7,48.2,49.1,50.1,51,51.9,52.4,52.8,53.4
46,47.4,47.7,48.2,49.1,50.1,51.1,52,52.5,52.8,53.5
47,47.4,47.8,48.3,49.2,50.2,51.1,52,52.6,52.9,53.6
48,47.5,47.8,48.3,49.2,50.2,51.2,52.1,52.6,53,53.6
49,47.5,47.9,48.4,49.3,50.3,51.2,52.1,52.7,53,53.7
50,47.5,47.9,48.4,49.3,50.3,51.3,52.2,52.7,53.1,53.7
51,47.6,47.9,48.5,49.4,50.4,51.3,52.2,52.8,53.1,53.8
52,47.6,48,48.5,49.4,50.4,51.4,52.3,52.8,53.2,53.8
53,47.7,48,48.6,49.5,50.4,51.4,52.3,52.9,53.2,53.9
54,47.7,48.1,48.6,49.5,50.5,51.5,52.4,52.9,53.3,53.9
55,47.7,48.1,48.6,49.5,50.5,51.5,52.4,53,53.3,54
56,47.8,48.1,48.7,49.6,50.6,51.6,52.5,53,53.4,54
57,47.8,48.2,48.7,49.6,50.6,51.6,52.5,53.1,53.4,54.1
58,47.9,48.2,48.8,49.7,50.7,51.7,52.6,53.1,53.5,54.1
59,47.9,48.2,48.8,49.7,50.7,51.7,52.6,53.2,53.5,54.2
60,47.9,48.3,48.8,49.7,50.7,51.7,52.7,53.2,53.5,54.2
