Month,3rd,5th,10th,25th,50th,75th,90th,95th,98th
0,2.355450986,2.52690402,2.773801848,3.150611082,3.530203168,3.879076559,4.17249339,4.34029274,4.446488308
0.5,2.799548641,2.964655655,3.209510017,3.597395573,4.003106424,4.387422565,4.718161283,4.910130108,5.032624982
1.5,3.614688072,3.774848862,4.020561446,4.428872952,4.879525083,5.327327567,5.728152752,5.967101615,6.121929103
2.5,4.34234145,4.503255345,4.754479354,5.183377547,5.672888765,6.175598158,6.638979132,6.921119162,7.106250132
3.5,4.992897896,5.157411653,5.416802856,5.866806254,6.391391982,6.942217106,7.460702368,7.781401145,7.993878049
4.5,5.575169066,5.744751566,6.01371624,6.484969167,7.041836432,7.635323002,8.202193202,8.556813353,8.793443663
5.5,6.096775274,6.272175299,6.551379244,7.043626918,7.630425182,8.262032991,8.871384112,9.255614546,9.51330656
6.5,6.564430346,6.745992665,7.035656404,7.548345716,8.162951035,8.828786159,9.47546616,9.885435743,10.16135019
7.5,6.984123338,7.171952393,7.472021438,8.004398775,8.644832479,9.34149038,10.02101374,10.45331433,10.74492376
8.5,7.361236116,7.555286752,7.865532922,8.416718775,9.081119817,9.805593364,10.51406421,10.96573632,11.27083843
9.5,7.700624405,7.90075516,8.220839211,8.789881892,9.476500305,10.22612395,10.96017225,11.42867623,11.74538465
10.5,8.006677447,8.212683538,8.542195484,9.128109523,9.835307701,10.60772151,11.36445045,11.84763282,12.17435729
11.5,8.283364855,8.494999555,8.833485623,9.43527941,10.16153567,10.9546603,11.73160184,12.2276612,12.56308347
12.5,8.534275028,8.751264252,9.098245709,9.714941801,10.45885399,11.27087147,12.06594792,12.57340193,12.91645043
13.5,8.762648582,8.984701111,9.339687673,9.970337596,10.7306256,11.55996332,12.37145331,12.88910809,13.23893338
14.5,8.971407287,9.198222429,9.560722369,10.20441778,10.97992482,11.82524099,12.65174864,13.17867019,13.53462171
15.5,9.163180317,9.394453831,9.763981751,10.41986276,11.20955529,12.06972515,12.91015164,13.44563963,13.80724431
16.5,9.340328068,9.575756968,9.951839998,10.61910138,11.4220677,12.29616991,13.14968707,13.6932508,14.0601935
17.5,9.504964014,9.744250626,10.12643352,10.80432929,11.61977698,12.50708008,13.37310558,13.92444193,14.29654774
18.5,9.658974787,9.901830339,10.28967982,10.97752662,11.80477902,12.70472779,13.58290165,14.14187481,14.51909298
19.5,9.804039109,10.05018686,10.44329524,11.14047457,11.9789663,12.89116805,13.78133058,14.34795358,14.73034312
20.5,9.941644878,10.19082308,10.58881155,11.2947714,12.14404334,13.06825426,13.9704249,14.54484233,14.93255878
21.5,10.07310549,10.32507004,10.72759156,11.44184727,12.30154103,13.23765258,14.15200982,14.73448194,15.12776542
22.5,10.19957488,10.45410181,10.86084353,11.58297823,12.45283028,13.40085582,14.3277181,14.91860604,15.31777023
23.5,10.32206165,10.57894925,10.98963476,11.7192993,12.59913494,13.55919667,14.49900418,15.09875606,15.50417803
24,10.38209025,10.64009004,11.05265567,11.78597528,12.6707633,13.63691949,14.58339799,15.18777349,15.59648294
24.5,10.4414422,10.70051298,11.11490406,11.85181666,12.74154396,13.71386029,14.6671577,15.27629562,15.68840631
25.5,10.55847309,10.81957536,11.23747341,11.98141892,12.88102276,13.86589625,14.83331632,15.45242405,15.87169941
26.5,10.67380261,10.93681171,11.35805876,12.10888759,13.01842382,14.0162298,14.99847794,15.62818936,16.05514188
27.5,10.78798157,11.05280067,11.47727994,12.23490671,13.1544966,14.1656725,15.16351231,15.80450043,16.23967114
28.5,10.90147346,11.168034,11.59566994,12.36007175,13.28989667,14.31493214,15.32917196,15.98213866,16.42608957
29.5,11.01466395,11.28292555,11.7136834,12.48489772,13.42519408,14.46462206,15.49610261,16.16176896,16.61507584
30.5,11.12786972,11.3978197,11.83170451,12.60982671,13.56088113,14.61526973,15.66485286,16.34395025,16.80719583
31.5,11.24134752,11.51299966,11.95005435,12.73523417,13.69737858,14.76732387,15.83588309,16.52914562,17.00291386
32.5,11.3552982,11.62869248,12.06899744,12.86143776,13.83504622,14.9211657,16.00957526,16.71773017,17.2025984
33.5,11.46987889,11.74507892,12.18874828,12.98869962,13.97418299,15.07711012,16.18623907,16.91000204,17.40653734
34.5,11.58520959,11.86229971,12.30947723,13.11723187,14.1150324,15.23541179,16.36611917,17.10619066,17.61494698
35.5,11.70137143,11.98045644,12.43131521,13.24720657,14.25779618,15.3962791,16.54940494,17.30646132,17.8279717
36,11.75978387,12.03991048,12.49268178,13.31277633,14.32994444,15.47772447,16.6423691,17.40816491,17.93624653
36.5,11.81842214,12.09962308,12.55435953,13.37875374,14.40262749,15.5598683,16.73623287,17.51092666,18.04570363
37.5,11.93639129,12.21984466,12.67867752,13.51197197,14.54964614,15.72629889,16.92669619,17.7196494,18.26817893
38.5,12.05529277,12.34114672,12.80431149,13.64692711,14.69893326,15.89564892,17.12084685,17.93265202,18.49539445
39.5,12.17512305,12.46353554,12.93128204,13.78365965,14.85054151,16.06796532,17.31870281,18.14992024,18.72730763
40.5,12.29587074,12.5870056,13.05959214,13.92218431,15.00449143,16.24326063,17.52024974,18.37141087,18.96385009
41.5,12.41751102,12.71153714,13.18922941,14.06249859,15.16078454,16.4215262,17.72544898,18.59705318,19.20492292
42.5,12.54001161,12.83710098,13.32016918,14.2045836,15.31940246,16.60273167,17.93423997,18.8267549,19.45040584
43.5,12.66334091,12.96366474,13.45237788,14.34840318,15.48030313,16.78682117,18.14654091,19.06040859,19.70016918
