Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
60.5,100.331847,101.4523027,103.171181,106.026498,109.1751441,112.2997816,115.0923665,116.7549954,117.831386
61.5,100.8077371,101.9372185,103.6697469,106.5472265,109.7195954,112.86706,115.6794655,117.3536426,118.4374113
62.5,101.2843288,102.4224687,104.1681762,107.0672782,110.2631136,113.4334909,116.2660704,117.9521268,119.0435349
63.5,101.7617545,102.908183,104.6665937,107.5867669,110.8057967,113.9991516,116.8522359,118.5504872,119.6497853
64.5,102.2401199,103.3944666,105.1651027,108.1057886,111.3477265,114.5641044,117.4380018,119.1487482,120.2561762
65.5,102.719504,103.8814006,105.6637849,108.6244211,111.8889694,115.128397,118.0233939,119.7469201,120.8627069
66.5,103.1999595,104.3690418,106.1627011,109.1427246,112.4295761,115.6920629,118.6084238,120.3449993,121.4693629
67.5,103.6815122,104.8574227,106.6618905,109.6607418,112.9695827,116.2551221,119.1930903,120.9429688,122.0761162
68.5,104.164162,105.3465519,107.1613717,110.1784984,113.5090108,116.8175812,119.777379,121.540799,122.682926
69.5,104.6478827,105.8364145,107.6611426,110.6960031,114.0478678,117.3794345,120.3612638,122.1384479,123.2897392
70.5,105.1326221,106.3269721,108.1611811,111.2132492,114.5861486,117.9406648,120.9447067,122.7358617,123.8964899
71.5,105.6183068,106.8181654,108.6614449,111.7302112,115.1238315,118.5012409,121.5276587,123.3329768,124.5031042
72.5,106.1048359,107.3099116,109.1618735,112.2468516,115.6608862,119.0611237,122.1100607,123.9297176,125.1094938
73.5,106.592087,107.8021076,109.6623876,112.7631168,116.1972691,119.6202624,122.6918435,124.5259991,125.7155618
74.5,107.0799166,108.2946307,110.1628906,113.2789389,116.732925,120.1785968,123.272929,125.1217272,126.3212019
75.5,107.5681606,108.7873391,110.6632694,113.7942368,117.2677879,120.7360574,123.8532304,125.7167992,126.926299
76.5,108.0566359,109.2800738,111.1633949,114.3089166,117.8017819,121.2925663,124.4326533,126.3111047,127.5307299
77.5,108.5451423,109.7726591,111.6631239,114.8228726,118.3348215,121.8480376,125.0110959,126.9045258,128.134364
78.5,109.0334636,110.2649049,112.1622995,115.335988,118.8668123,122.4023786,125.5884499,127.4969382,128.737064
79.5,109.5213695,110.7566073,112.6607528,115.8481358,119.397652,122.9554895,126.1646012,128.0882119,129.3386866
80.5,110.0086174,111.247551,113.158304,116.3591802,119.9272309,123.5072652,126.7394306,128.6782115,129.9390834
81.5,110.4949545,111.7375104,113.654764,116.8689769,120.455433,124.057595,127.3128143,129.2667977,130.5381015
82.5,110.9801192,112.2262515,114.1499353,117.3773747,120.9821362,124.6063638,127.8846249,129.8538272,131.1355844
83.5,111.4638437,112.7135338,114.6436141,117.8842164,121.5072136,125.1534527,128.4547316,130.4391542,131.7313729
84.5,111.9458554,113.1991118,115.1355915,118.3893397,122.0305342,125.6987395,129.0230015,131.0226304,132.3253057
85.5,112.4258796,113.6827373,115.625655,118.8925788,122.5519634,126.2420996,129.5892999,131.6041067,132.9172205
86.5,112.9036412,114.1641607,116.1135904,119.3937653,123.0713645,126.7834065,130.153491,132.183433,133.5069548
87.5,113.3788664,114.6431334,116.5991827,119.8927292,123.588599,127.3225327,130.7154389,132.7604599,134.0943467
88.5,113.8512827,115.1194078,117.0822191,120.3893032,124.1035312,127.8593529,131.2750083,133.335037,134.6792321
89.5,114.3206308,115.5927447,117.562488,120.8833137,124.6160161,128.393735,131.8320643,133.9070206,135.2614591
90.5,114.7866522,116.0629074,118.0397834,121.3745956,125.1259182,128.9255543,132.3864745,134.4762655,135.8408704
91.5,115.2491001,116.5296686,118.5139049,121.8629855,125.6331012,129.4546858,132.9381089,135.0426312,136.4173156
92.5,115.7077388,116.9928104,118.9846594,122.3483243,126.1374319,129.9810071,133.4868407,135.6059815,136.9906494
93.5,116.1623461,117.4521263,119.4518627,122.8304588,126.6387804,130.504399,134.0325473,136.1661852,137.5607324
94.5,116.6127146,117.9074226,119.9153408,123.3092425,127.1370217,131.024746,134.5751108,136.7231173,138.1274323
95.5,117.0586529,118.3585201,120.3749315,123.784537,127.6320362,131.5419375,135.1144188,137.2766592,138.6906245
96.5,117.4999879,118.8052553,120.830485,124.2562127,128.1237104,132.0558684,135.6503652,137.8267001,139.2501934
97.5,117.9365657,119.2474816,121.281866,124.7241502,128.6119383,132.5664397,136.1828511,138.3731376,139.8060325
98.5,118.3682526,119.6850711,121.7289543,125.1882412,129.096622,133.0735595,136.7117853,138.9158785,140.3580462
99.5,118.794937,120.1179149,122.1716458,125.6483893,129.5776723,133.5771438,137.2370854,139.4548395,140.9061502
100.5,119.2165297,120.5459248,122.6098539,126.1045113,130.0550101,134.0771172,137.7586784,139.9899485,141.4502723
101.5,119.6329654,120.9690339,123.04351,126.5565377,130.5285669,134.5734138,138.2765017,140.5211451,141.9903534
102.5,120.0442031,121.3871973,123.4725646,127.0044134,130.9982857,135.065978,138.7905039,141.0483813,142.5263486
103.5,120.450227,121.8003934,123.896988,127.4480994,131.4641218,135.5547656,139.3006456,141.5716229,143.0582274
