Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
60.5,14.85692044,15.23201937,15.8481433,16.99697963,18.48592413,20.26085668,22.17743954,23.50832656,24.46169255
61.5,14.99078448,15.37087094,15.9954639,17.16102601,18.67349965,20.47928605,22.43270288,23.79136391,24.76574995
62.5,15.12519986,15.51027205,16.14333947,17.32566884,18.86179576,20.69870731,22.6894297,24.07631802,25.07211926
63.5,15.26018306,15.65023042,16.29176433,17.49088098,19.05076579,20.9190654,22.94757799,24.36317198,25.38081076
64.5,15.39575201,15.79075599,16.44073615,17.65664052,19.24037019,21.14031403,23.20711615,24.65192058,25.69184758
65.5,15.53192567,15.93186059,16.59025577,17.82293074,19.43057662,21.36241588,23.46802293,24.94257,26.00526525
66.5,15.66872366,16.07355758,16.74032694,17.98974005,19.62136007,21.58534268,23.73028735,25.23513755,26.32111112
67.5,15.80616582,16.21586154,16.8909561,18.15706188,19.8127028,21.80907518,23.99390857,25.52965118,26.63944376
68.5,15.94427185,16.35878793,17.04215212,18.32489457,20.0045944,22.03360322,24.25889565,25.82614911,26.96033222
69.5,16.08306098,16.50235277,17.19392605,18.49324122,20.19703171,22.25892561,24.52526733,26.12467926,27.28385531
70.5,16.22255158,16.64657235,17.34629087,18.66210955,20.39001872,22.48505007,24.79305175,26.42529873,27.6101008
71.5,16.36275897,16.79146158,17.49926081,18.83151262,20.58356862,22.71199557,25.06228739,26.72807261,27.93916194
72.5,16.50370229,16.93703875,17.65285271,19.00146515,20.77769565,22.93978291,25.33301794,27.03307565,28.27114631
73.5,16.64539409,17.08331814,17.80708353,19.17198834,20.97242631,23.16844769,25.60529875,27.34038832,28.60616106
74.5,16.78784656,17.23031439,17.96197153,19.34310643,21.16779192,23.39803173,25.87919213,27.6500983,28.94432077
75.5,16.93106986,17.37804118,18.11753578,19.51484724,21.36383013,23.62858485,26.15476795,27.96229925,29.2857444
76.5,17.07507197,17.52651109,18.2737959,19.68724198,21.56058467,23.86016456,26.43210324,28.27709021,29.63055429
77.5,17.21985864,17.6757355,18.43077195,19.86032494,21.75810506,24.09283575,26.71128177,28.59457486,29.97887524
78.5,17.36543339,17.82572453,18.58848423,20.03413327,21.95644627,24.32667035,26.99239357,28.91486092,30.33083356
79.5,17.51179749,17.97648696,18.74695318,20.20870673,22.15566842,24.56174697,27.27553447,29.23805946,30.68655618
80.5,17.65894807,18.12802886,18.90619877,20.38408835,22.35583862,24.79815314,27.56080718,29.56428369,31.04616685
81.5,17.80688538,18.28035866,19.06624222,20.56032091,22.55702268,25.03597537,27.84831538,29.89365038,31.40979543
82.5,17.95560314,18.4334803,19.22710346,20.73745116,22.75929558,25.27531174,28.13817063,30.2262764,31.77756321
83.5,18.10509471,18.58739757,19.38880264,20.9155269,22.9627344,25.51626345,28.43048732,30.56227989,32.14959054
84.5,18.25535252,18.74211363,19.55135989,21.09459707,23.16741888,25.75893543,28.72538282,30.90177938,32.52599493
85.5,18.4063661,18.89762965,19.71479476,21.2747126,23.37343341,26.00343881,29.02297867,31.24489263,32.90688716
86.5,18.55812709,19.05394835,19.87912757,21.45592408,23.58086145,26.24988395,29.32339625,31.59173734,33.29237745
87.5,18.71062426,19.21107044,20.044378,21.63828396,23.78979096,26.49838713,29.62676053,31.94242919,33.68256717
88.5,18.86384686,19.36899699,20.21056603,21.82184504,24.00031064,26.74906587,29.93319702,32.29708214,34.07755271
89.5,19.01778428,19.52772926,20.37771189,22.00666068,24.21251028,27.00203925,30.24283177,32.65580771,34.47742403
90.5,19.17242647,19.68726895,20.54583618,22.19278461,24.42648043,27.25742737,30.55579074,33.01871449,34.88226421
91.5,19.32776424,19.84761848,20.71496001,22.38027095,24.642312,27.51535075,30.87219924,33.38590769,35.2921491
92.5,19.48378967,20.00878127,20.88510518,22.56917407,24.86009596,27.77592982,31.19218135,33.75748861,35.707147
93.5,19.64049642,20.17076208,21.05629437,22.75954858,25.07992303,28.03928438,31.51585929,34.13355425,36.12731836
94.5,19.79787788,20.33356558,21.22855059,22.95145019,25.30188584,28.30553622,31.8433549,34.51419632,36.55271218
95.5,19.95593574,20.49720276,21.40189997,23.14493249,25.52606977,28.57479705,32.17478161,34.89950266,36.98337837
96.5,20.1146687,20.66168259,21.57636833,23.34005152,25.75256528,28.84718437,32.51025437,35.28955426,37.41934991
97.5,20.27408001,20.82701772,21.75198362,23.53686295,25.9814599,29.12281085,32.84988252,35.68442647,37.86065382
98.5,20.43417606,20.9932234,21.92877558,23.73542282,26.2128399,29.40178631,33.19377093,36.08418823,38.30730842
99.5,20.59496663,21.16031766,22.10677591,23.93578761,26.44679027,29.68421748,33.54201944,36.48890176,38.75932329
100.5,20.75646502,21.32832161,22.28601843,24.13801431,26.68339457,29.97020767,33.8947225,36.89862215,39.21669915
101.5,20.91868832,21.49725951,22.46653924,24.34216053,26.92273494,30.25985653,34.25196875,37.31339712,39.67942783
102.5,21.08165758,21.66715902,22.64837687,24.54828458,27.16489199,30.5532598,34.61384061,37.73326669,40.14749235
103.5,21.24539741,21.83805093,22.83157226,24.7564457,27.40994539,30.85050986,34.98041447,38.15826287,40.62086606
104.5,21.40993987,22.00997207,23.01617007,24.96670281,27.65796978,31.15169009,35.35175676,38.5884101,41.09951874
105.5,21.57531575,22.18295884,23.20221593,25.17911785,27.90904433,31.45688766,35.72793225,39.02372343,41.58340237
106.5,21.74156399,22.35705429,23.38975956,25.39375238,28.16324264,31.76617973,36.10899472,39.46421007,42.07246636
107.5,21.90872739,22.53230492,23.57885344,25.61066925,28.42063744,32.07963965,36.49499102,39.90986854,42.56665066
108.5,22.07685313,22.70876108,23.769553,25.82993243,28.68130005,32.39733625,36.8859604,40.36068858,43.06588662
109.5,22.24599293,22.8864771,23.96191672,26.05160708,28.94530029,32.71933351,37.28193426,40.81665117,43.57009739
110.5,22.41620302,23.06551129,24.15600612,26.27575951,29.21270645,33.04569055,37.68293608,41.27772848,44.07919809
111.5,22.58754414,23.24592593,24.35188577,26.50245719,29.48358527,33.37646157,38.08898133,41.74388392,44.59309597
112.5,22.76008145,23.42778723,24.54962324,26.73176876,29.75800198,33.7116958,38.50007744,42.21507216,45.11169064
113.5,22.93388449,23.61116524,24.74928911,26.96376399,30.03602021,34.05143747,38.9162238,42.69123922,45.63487433
114.5,23.10902476,23.79613202,24.95095592,27.19851432,30.31770417,34.39572894,39.33741401,43.17232241,46.16252884
115.5,23.28558367,23.98276774,25.15470129,27.43609072,30.60311107,34.74459982,39.76362815,43.65825106,46.69453697
116.5,23.46364195,24.17115246,25.36060368,27.67656629,30.89230072,35.09808092,40.19484291,44.14894598,47.23076853
117.5,23.6432856,24.36137073,25.56874466,27.92001453,31.18532984,35.45619608,40.63102576,44.64432008,47.77108893
118.5,23.8246044,24.55351042,25.77920825,28.16650963,31.48225315,35.81896391,41.07213642,45.1442785,48.31535768
119.5,24.00769173,24.74766249,25.99208072,28.41612623,31.78312329,36.18639776,41.51812687,45.64871885,48.86342877
120.5,24.19264433,24.94392079,26.20745042,28.66893932,32.08799062,36.55850564,41.96894158,46.15753154,49.41515104
121.5,24.37956211,25.14238189,26.42540754,28.92502395,32.39690313,36.9352902,42.42451755,46.67060006,49.97036852
122.5,24.5685479,25.34314479,26.64604388,29.18445509,32.7099062,37.31674867,42.88478457,47.18780128,50.52892088
123.5,24.75970717,25.54631065,26.86945259,29.44730733,33.02704244,37.70287276,43.34966531,47.70900582,51.09064381
124.5,24.95314776,25.75198256,27.09572788,29.7136546,33.34835148,38.09364865,43.81907554,48.23407839,51.65536941
125.5,25.14897956,25.96026515,27.32496472,29.98356997,33.67386973,38.48905687,44.29292431,48.76287816,52.22292668
126.5,25.3473142,26.17126436,27.55725852,30.25712523,34.00363017,38.88907228,44.77111415,49.29525914,52.79314187
127.5,25.54826471,26.38508699,27.79270478,30.53439065,34.33766207,39.29366396,45.2535413,49.83107058,53.36583897
128.5,25.75194512,26.60184044,28.03139872,30.8154346,34.67599076,39.70279517,45.74009589,50.37015732,53.94084012
129.5,25.95847011,26.82163224,28.27343489,31.1003232,35.01863732,40.11642323,46.23066219,50.91236024,54.51796605
130.5,26.16795559,27.0445704,28.51890714,31.38911963,35.36561737,40.53449819,46.72511793,51.45751679,55.09703793
131.5,26.38051177,27.27075818,28.76790586,31.6818858,35.71694723,40.95697152,47.22334049,52.00546039,55.67786843
132.5,26.59626062,27.50030694,29.02052392,31.97867622,36.07262569,41.38377162,47.72519072,52.55602363,56.26028801
133.5,26.81530934,27.73331628,29.27684696,32.27954601,36.43265996,41.81483955,48.23053714,53.10903452,56.84410756
134.5,27.03777112,27.96988937,29.53696045,32.58454356,36.79704392,42.25009969,48.73923662,53.66432034,57.42914961
135.5,27.26375553,28.21012567,29.80094595,32.89371309,37.1657671,42.68947235,49.25114312,54.22170647,58.01523548
136.5,27.49336962,28.45412164,30.06888124,33.20709368,37.53881268,43.13287143,49.76610635,54.7810171,58.60218796
137.5,27.72671746,28.70197022,30.34083979,33.52471882,37.91615721,43.58020437,50.28397203,55.34207557,59.18983178
138.5,27.96389959,28.95376036,30.61689027,33.84661596,38.2977703,44.03137211,50.80458216,55.90470472,59.77799389
139.5,28.20501252,29.20957645,30.89709604,34.17280606,38.6836143,44.48626901,51.32777521,56.46872726,60.36650388
140.5,28.4501482,29.46949781,31.18151463,34.50330312,39.07364401,44.94478284,51.85338637,57.03396609,60.95519425
141.5,28.69939347,29.73359819,31.47019723,34.83811379,39.46780643,45.40679475,52.38124777,57.6002446,61.54390076
142.5,28.95282957,30.00194519,31.76318818,35.17723687,39.86604044,45.8721792,52.91118868,58.167387,62.13246268
143.5,29.21053153,30.27459974,32.06052445,35.52066292,40.26827652,46.34080401,53.44303574,58.73521857,62.72072311
144.5,29.47256769,30.55161562,32.36223514,35.8683738,40.67443658,46.81253029,53.97661318,59.30356596,63.30852916
145.5,29.73899917,30.83303885,32.66834099,36.22034231,41.08443363,47.28721249,54.51174297,59.87225739,63.89573222
146.5,30.00987927,31.11890724,32.97885387,36.57653175,41.49817164,47.76469837,55.04824506,60.44112289,64.48218816
147.5,30.28525305,31.40924987,33.29377635,36.9368956,41.91554528,48.24482905,55.58593751,61.00999451,65.06775743
148.5,30.56515671,31.70408654,33.61310119,37.3013771,42.33643978,48.72743903,56.1246367,61.5787065,65.65230527
149.5,30.84961718,32.00342738,33.93681092,37.669909,42.76073078,49.21235624,56.66415748,62.14709543,66.23570179
150.5,31.13865154,32.30727227,34.26487746,38.04241318,43.18828419,49.6994021,57.20431332,62.71500036,66.81782206
151.5,31.43226571,32.61560983,34.59726137,38.4188008,43.61895703,50.1883928,57.74491716,63.28226272,67.39854494
152.5,31.73045808,32.92841993,34.9339128,38.79897039,44.0525931,50.67913392,58.2857783,63.84872734,67.97775861
153.5,32.03321196,33.24566815,35.27476898,39.18281045,44.48903027,51.17142989,58.82670813,64.41424088,68.5553511
154.5,32.34050069,33.56730937,35.61975555,39.57019714,44.92809483,51.66507694,59.36751587,64.97865313,69.13121752
155.5,32.6522856,33.8932863,35.96878581,39.96099475,45.36960315,52.15986523,59.90801,65.54181664,69.70525793
156.5,32.96851571,34.22352911,36.32176053,40.35505561,45.81336172,52.65557906,60.44799828,66.1035867,70.27737718
157.5,33.28912731,34.5579552,36.67856768,40.75222006,46.25916729,53.15199704,60.98728788,66.66382131,70.8474848
158.5,33.61404373,34.8964689,37.03908232,41.15231646,46.70680701,53.64889226,61.52568545,67.22238111,71.41549477
159.5,33.94317499,35.23896126,37.40316649,41.55516124,47.15605863,54.14603254,62.06299719,67.77912926,71.98132532
160.5,34.27641756,35.58530989,37.7706691,41.96055897,47.60669074,54.64318067,62.59902894,68.33393136,72.54489869
161.5,34.61365176,35.9353771,38.14142532,42.36830371,48.05846572,55.14009784,63.13358794,68.88665453,73.10613746
162.5,34.95474943,36.28901539,38.51525867,42.77817554,48.51113138,55.63653354,63.66647721,69.43716965,73.66497514
163.5,35.29956396,36.64606043,38.89197851,43.1899454,48.96443224,56.13223889,64.19750276,69.98534819,74.22134215
164.5,35.64793577,37.00633501,39.27138168,43.6033728,49.41810374,56.62695959,64.72646954,70.53106367,74.77517319
165.5,35.99969112,37.36964826,39.65325233,44.01820683,49.87187409,57.12043787,65.25318239,71.07419108,75.32640513
166.5,36.354642,37.73579576,40.03736224,44.43418656,50.32546478,57.61241293,65.77744608,71.6146066,75.87497649
167.5,36.71258626,38.10455963,40.42347105,44.8510416,50.77859121,58.10262135,66.29906539,72.15218736,76.42082697
168.5,37.07330766,38.47570882,40.81132672,45.26849262,51.23096332,58.59079757,66.81784516,72.68681109,76.96389688
169.5,37.43657601,38.84899932,41.20066588,45.68625203,51.68228625,59.07667438,67.33359031,73.21835588,77.50412655
170.5,37.80214741,39.22417451,41.5912144,46.10402466,52.13226113,59.55998349,67.846106,73.7466998,78.04145573
171.5,38.16976444,39.60096552,41.98268787,46.5215085,52.58058583,60.04045606,68.35519765,74.27172061,78.57582294
172.5,38.53915657,39.97909172,42.37479226,46.93839552,53.02695588,60.51782332,68.86067105,74.79329538,79.10716478
173.5,38.91004046,40.35826115,42.76722456,47.35437254,53.47106525,60.99181722,69.36233252,75.31130018,79.63541524
174.5,39.28212045,40.73817116,43.15967355,47.76912213,53.91260737,61.4621711,69.85998897,75.82560968,80.16050495
175.5,39.65508906,41.118509,43.55182054,48.18232356,54.35127608,61.92862037,70.35344811,76.33609688,80.68236046
176.5,40.02862762,41.49895256,43.94334028,48.59365384,54.78676659,62.3909033,70.8425186,76.84263269,81.20090348
177.5,40.40240687,41.8791711,44.33390178,49.00278873,55.21877657,62.84876169,71.32701026,77.34508562,81.71605007
178.5,40.77608405,42.25882349,44.72316843,49.40940563,55.64701131,63.30194659,71.80673678,77.84332029,82.22770492
179.5,41.14932239,42.63757221,45.1108035,49.81317566,56.07116407,63.75019486,72.2815034,78.33720309,82.73578555
180.5,41.52175462,43.01505816,45.49646217,50.21378283,56.49095862,64.19327833,72.75113236,78.82658994,83.24017154
181.5,41.89302144,43.39092788,45.87980164,50.61090716,56.90610886,64.63095632,73.21543801,79.31133801,83.74075385
182.5,42.26275389,43.76482163,46.26047782,51.0042348,57.31634059,65.06300059,73.6742397,79.79129954,84.23740907
183.5,42.63057829,44.13637714,46.63814737,51.39345743,57.72138846,65.48919135,74.12735965,80.26632286,84.73000377
184.5,42.99611758,44.50523096,47.01246901,51.77827341,58.12099696,65.90931806,74.57462329,80.73625224,85.21839391
185.5,43.3589927,44.87101979,47.3831047,52.15838887,58.51492143,66.32318017,75.01585966,81.20092786,85.70242429
186.5,43.71882106,45.23337973,47.74972019,52.53352018,58.90293208,66.73059164,75.45090384,81.66018503,86.18192445
187.5,44.07523324,45.59195858,48.11199053,52.90338872,59.28479948,67.13136309,75.87958721,82.11385795,86.65672655
188.5,44.42784452,45.94639581,48.46959303,53.26773454,59.66032626,67.52533948,76.30175821,82.56177239,87.12662858
189.5,44.77628678,46.29634576,48.82221709,53.62630488,60.02931704,67.91236375,76.71726244,83.00375329,87.59143077
190.5,45.1202019,46.64147321,49.16956302,53.97885832,60.39158721,68.29228717,77.12594864,83.43962339,88.05092631
191.5,45.45922209,46.98143987,49.51133821,54.32517625,60.74698785,68.66499835,77.5276843,83.8691966,88.50487158
192.5,45.79300591,47.31593016,49.84726703,54.66504759,61.09536847,69.03037911,77.92233231,84.29228904,88.95303286
193.5,46.12121938,47.64463827,50.17708708,54.9982797,61.43660077,69.38833214,78.30976593,84.70871297,89.39515827
194.5,46.4435428,47.96727332,50.5005518,55.32469696,61.77057372,69.73877506,78.68986591,85.1182789,89.83098491
195.5,46.75967279,48.2835611,50.81743186,55.64414166,62.09719399,70.08164061,79.0625209,85.52079616,90.26023965
196.5,47.06932426,48.59324591,51.12751661,55.95647478,62.41638628,70.41687682,79.42762779,85.91607365,90.68264001
197.5,47.37223239,48.89609218,51.43061537,56.26157681,62.72809362,70.74444713,79.78509216,86.30392061,91.09789536
