Month,3rd,5th,10th,25th,50th,75th,90th,95th,98th
0,2.414111983,2.54790518,2.747222257,3.06486465,3.39918645,3.717519384,3.992572231,4.152636594,4.254922004
0.5,2.756916984,2.894442278,3.101767067,3.437628263,3.79752846,4.145593668,4.450125603,4.628836382,4.743581789
1.5,3.402293298,3.547610305,3.770157472,4.13899376,4.544776513,4.946765504,5.305632496,5.51916925,5.657379108
2.5,3.997805608,4.150638506,4.387041982,4.784820426,5.230584214,5.680083196,6.08764077,6.332837055,6.492574414
3.5,4.54738333,4.70712251,4.95592631,5.379141034,5.859960798,6.351511983,6.802769825,7.076722522,7.256165568
4.5,5.054538727,5.220487543,5.480295205,5.92588831,6.437587751,6.966523789,7.45711879,7.757233948,7.954730061
5.5,5.522500226,5.693974176,5.963510428,6.428828208,6.967850457,7.53018045,8.056331004,8.380329759,8.59441348
6.5,5.954272494,6.130641295,6.408775097,6.891533095,7.454854109,8.047178246,8.605635546,8.951543685,9.180938407
7.5,6.352668277,6.533372908,6.819122283,7.317373091,7.902436186,8.52187726,9.109878097,9.476008728,9.719620693
8.5,6.720327734,6.904885578,7.197413532,7.709516114,8.314178377,8.958324062,9.573546299,9.958479736,10.2153883
9.5,7.059731719,7.247735767,7.546341788,8.070932165,8.693418423,9.360270982,10.00079194,10.40335475,10.67280092
10.5,7.373211901,7.564326904,7.868436369,8.404399764,9.043261854,9.7311934,10.3954511,10.81469528,11.0960696
11.5,7.662959063,7.856916169,8.166068895,8.712513432,9.366593571,10.07430572,10.76106284,11.19624565,11.48907597
12.5,7.93103031,8.127621012,8.441459662,8.997691667,9.666089185,10.39257636,11.10088678,11.5514514,11.85539095
13.5,8.179355552,8.378425424,8.696684147,9.262185089,9.944226063,10.68874201,11.4179197,11.88347697,12.19829279
14.5,8.409743555,8.611186014,8.933679535,9.508084539,10.20329397,10.96532105,11.7149113,12.19522253,12.52078451
15.5,8.62388725,8.827637666,9.154251142,9.737329319,10.4454058,11.2246268,11.99437938,12.48934,12.82561033
16.5,8.82336957,9.029399482,9.360078736,9.951714686,10.67250698,11.46877937,12.258624,12.76824867,13.11527219
17.5,9.00966812,9.217979979,9.55272268,10.15289979,10.88638558,11.69971783,12.50974133,13.03414978,13.39204468
18.5,9.184160166,9.394782429,9.733629905,10.34241498,11.08868151,11.91921144,12.74963667,13.28904061,13.65798985
19.5,9.348127323,9.561109949,9.904139709,10.52166904,11.28089537,12.1288704,12.98003694,13.53472797,13.91497124
20.5,9.502760074,9.718170424,10.06548937,10.69195601,11.46439708,12.3301562,13.20250263,13.77284102,14.1646673
21.5,9.649162144,9.867081272,10.21881956,10.85446195,11.64043402,12.52439148,13.41843913,14.00484351,14.40858419
22.5,9.788354721,10.00887405,10.3651796,11.01027128,11.81013895,12.71276942,13.62910755,14.23204547,14.64806798
23.5,9.921280547,10.14449891,10.50553251,11.16037297,11.97453748,12.89636272,13.8356351,14.45561433,14.88431632
24,9.985667562,10.2102741,10.57373483,11.23356786,12.05503983,12.98666951,13.93766409,14.56636479,15.00156359
24.5,10.04880792,10.27482893,10.64075988,11.30566642,12.13455523,13.07613207,14.03902482,14.67658551,15.1183895
25.5,10.17173432,10.40066415,10.77166654,11.44696728,12.2910249,13.25293458,14.24016506,14.89587242,15.35122084
26.5,10.29079033,10.52273569,10.89898512,11.58501268,12.44469258,13.42753123,14.43983825,15.1142761,15.58362686
27.5,10.40664383,10.64171007,11.02338047,11.72046615,12.59622335,13.60059358,14.63872906,15.33249457,15.8163176
28.5,10.51990171,10.7581918,11.14545358,11.8539236,12.74620911,13.77271274,14.83743315,15.55113065,16.0499034
29.5,10.63111516,10.8727282,11.26574591,11.98591692,12.89517218,13.94440383,15.03646393,15.770701,16.28490586
30.5,10.74078194,10.98581228,11.38474303,12.11691911,13.04357164,14.11611337,15.23626013,15.99164336,16.52176469
31.5,10.84934975,11.09788625,11.50287842,12.24734843,13.19180827,14.28822496,15.43719248,16.21432393,16.7608456
32.5,10.95721927,11.2093447,11.62053698,12.37757256,13.34022934,14.46106492,15.63957012,16.43904429,17.00244749
33.5,11.0647471,11.32053778,11.7380584,12.50791249,13.48913319,14.6349076,15.8436466,16.66604785,17.24680927
34.5,11.17224778,11.43177357,11.85574032,12.63864672,13.63877446,14.80998135,16.04962601,16.89552564,17.49411514
35.5,11.27999893,11.54332263,11.9738418,12.77001339,13.78936547,14.98647034,16.25766706,17.12762297,17.74450372
36,11.33404488,11.59928903,12.03312087,12.83599859,13.86507382,15.07529315,16.36249956,17.24468787,17.87088515
36.5,11.38824099,11.65541879,12.0925858,12.90221529,13.94108332,15.16452247,16.46788956,17.3624437,17.9980699
37.5,11.49718137,11.76826286,12.21216229,13.03542218,14.09407175,15.34425164,16.68037834,17.60005585,18.25487219
38.5,11.60699649,11.88202491,12.33273088,13.16977393,14.24844498,15.52574208,16.89518784,17.84049621,18.51493707
39.5,11.71783343,11.99684628,12.45442324,13.3053838,14.40429169,15.7090529,17.11234657,18.08377443,18.77826268
40.5,11.82981465,12.11284345,12.57734604,13.44233976,14.56167529,15.89421842,17.33185956,18.329878,19.04482627
41.5,11.94303682,12.23010816,12.7015826,13.58070885,14.72064045,16.08125551,17.55371382,18.57877485,19.31458378
42.5,12.05757491,12.34871076,12.82719552,13.72053844,14.88121352,16.27016402,17.77788046,18.83041754,19.58747608
43.5,12.17348363,12.46870194,12.95422865,13.86185877,15.04340553,16.4609302,18.00431807,19.08474635,19.86343169
44.5,12.29079939,12.59011469,13.08270906,14.00468502,15.20721443,16.65352914,18.23297548,19.34169227,20.14236985
45.5,12.40954207,12.71296607,13.21264896,14.14901929,15.37262729,16.84792719,18.46379435,19.60117968,20.42420335
46.5,12.52971675,12.837259,13.3440474,14.29485248,15.53962221,17.04408407,18.69671155,19.86312888,20.70884106
47.5,12.65131534,12.96298387,13.47689199,14.44216593,15.70817017,17.24195488,18.9316613,20.12745836,20.99619028
48.5,12.77431816,13.09012012,13.61116044,14.59093307,15.87823668,17.44149184,19.16857713,20.3940868,21.28615884
49.5,12.89869431,13.21863694,13.74682181,14.74112146,16.04978452,17.64264736,19.40739437,20.66293462,21.57865549
50.5,13.0244072,13.34849756,13.88383882,14.89269209,16.2227706,17.84537017,19.64804889,20.93392691,21.8735972
51.5,13.15141009,13.47965651,14.02216781,15.04560355,16.39715363,18.04961414,19.8904825,21.20699305,22.17090276
52.5,13.279651,13.61206342,14.16176079,15.19981137,16.57289122,18.25533469,20.13464164,21.48206912,22.47049907
53.5,13.40907302,13.74566354,14.30256641,15.35526953,16.74994187,18.46249096,20.38047905,21.75909881,22.7723211
54.5,13.53961547,13.88039891,14.44453095,15.51193144,16.92826587,18.67104666,20.62795467,22.0380343,23.07631287
55.5,13.67121491,14.0162093,14.58759933,15.66975084,17.10782615,18.88097086,20.87703643,22.31883709,23.3824283
56.5,13.80380614,14.15303322,14.731716,15.82868259,17.28858894,19.09223862,21.12770084,22.60147865,23.69063187
57.5,13.9373231,14.29080875,14.87682577,15.9886834,17.47052444,19.30483153,21.37993353,22.88594093,24.00089913
58.5,14.07169977,14.42947441,15.02287453,16.14971251,17.65360733,19.51873814,21.63372961,23.17221677,24.31321719
59.5,14.20687088,14.56896986,15.16981002,16.31173224,17.83781722,19.73395429,21.88909396,23.46031012,24.62758492
60.5,14.34277271,14.70923661,15.31758235,16.47470852,18.02313904,19.95048336,22.14604136,23.75023626,24.94401317
