Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
60.5,99.35047319,100.3890853,102.0108651,104.7829358,107.9566031,111.2321213,114.2701285,116.1301284,117.3552032
61.5,99.88469514,100.9289069,102.5598541,105.348792,108.5436278,111.8430758,114.9051683,116.780812,118.0165629
62.5,100.4197939,101.4696357,103.1097819,105.9155982,109.1315521,112.4548114,115.5408235,117.4319846,118.6783183
63.5,100.9555286,102.0110354,103.6604184,106.4831306,109.7201531,113.0670984,116.1768496,118.0833889,119.3402023
64.5,101.4916463,102.5528574,104.2115203,107.0511517,110.3091934,113.6796918,116.8129879,118.7347537,120.0019338
65.5,102.0278838,103.0948423,104.762833,107.6194116,110.8984228,114.2923342,117.4489667,119.3857953,120.6632194
66.5,102.5639698,103.6367221,105.3140925,108.1876502,111.4875806,114.9047572,118.0845041,120.03622,121.3237564
67.5,103.0996264,104.1782217,105.8650274,108.7555991,112.0763967,115.5166834,118.7193096,120.685726,121.9832342
68.5,103.6345709,104.7190606,106.4153599,109.3229831,112.6645943,116.1278283,119.3530862,121.3340057,122.6413368
69.5,104.1685175,105.258955,106.9648081,109.8895213,113.2518902,116.7379017,119.9855318,121.9807474,123.297745
70.5,104.7011761,105.797617,107.5130874,110.4549317,113.8380006,117.3466121,120.6163423,122.6256361,123.9521353
71.5,105.2322625,106.3347618,108.0599112,111.0189247,114.4226317,117.9536599,121.2452109,123.2683596,124.6041916
72.5,105.7614857,106.8701003,108.6049935,111.5812164,115.0054978,118.5587525,121.8718331,123.9086035,125.2535916
73.5,106.2885612,107.4033481,109.148049,112.1415202,115.5863089,119.1615941,122.4959057,124.5460585,125.9000218
74.5,106.8132066,107.9342229,109.6887954,112.6995522,116.1647782,119.7618926,123.1171295,125.1804203,126.5431735
75.5,107.3351443,108.4624465,110.2269537,113.2550319,116.7406221,120.3593603,123.7352109,125.8113907,127.1827453
76.5,107.8541019,108.987746,110.7622502,113.8076835,117.3135622,120.9537147,124.3498634,126.4386798,127.8184451
77.5,108.3698135,109.5098548,111.2944168,114.3572371,117.8833259,121.5446807,124.9608087,127.0620077,128.4499914
78.5,108.8820206,110.0285133,111.8231928,114.9034294,118.4496481,122.1319914,125.5677788,127.6811055,129.0771148
79.5,109.3904733,110.5434704,112.3483251,115.4460056,119.0122722,122.7153896,126.1705167,128.2957169,129.69956
80.5,109.8949308,111.0544841,112.8695701,115.9847196,119.5709513,123.2946291,126.7687784,128.9056,130.3170863
81.5,110.3951624,111.5613221,113.3866939,116.5193358,120.1254495,123.8694758,127.3623338,129.5105281,130.9294701
82.5,110.890948,112.0637632,113.8994733,117.0496296,120.6755427,124.4397092,127.9509681,130.1102914,131.5365053
83.5,111.3820796,112.5615976,114.407697,117.5753884,121.22102,125.0051231,128.5344832,130.7046982,132.1380052
84.5,111.868361,113.054628,114.9111662,118.0964128,121.7616844,125.5655273,129.1126986,131.2935761,132.7338033
85.5,112.3496093,113.54267,115.4096953,118.6125173,122.2973542,126.1207484,129.6854529,131.876773,133.323755
86.5,112.825655,114.0255532,115.9031127,119.1235313,122.827864,126.6706308,130.2526047,132.4541587,133.9077383
87.5,113.2963432,114.5031216,116.391262,119.6293,123.3530652,127.2150383,130.8140342,133.025626,134.4856552
88.5,113.7615336,114.9752341,116.874002,120.1296849,123.8728276,127.7538545,131.3696436,133.5910912,135.0574328
89.5,114.2211014,115.4417656,117.351208,120.6245654,124.38704,128.2869845,131.9193587,134.150496,135.6230245
90.5,114.674938,115.9026074,117.8227724,121.113839,124.8956114,128.8143555,132.4631302,134.7038082,136.1824107
91.5,115.1229513,116.3576679,118.2886054,121.5974226,125.398472,129.3359181,133.000934,135.2510227,136.7356
92.5,115.5650666,116.8068731,118.7486357,122.0752529,125.895574,129.8516474,133.5327731,135.7921628,137.2826306
93.5,116.001227,117.2501678,119.2028114,122.5472882,126.3868929,130.3615441,134.0586782,136.3272809,137.8235707
94.5,116.4313942,117.6875155,119.651101,123.0135084,126.8724284,130.8656354,134.5787089,136.8564598,138.3585197
95.5,116.8555488,118.1188998,120.0934937,123.4739166,127.3522056,131.3639763,135.0929548,137.3798137,138.8876092
96.5,117.2736916,118.5443251,120.5300007,123.92854,127.8262759,131.8566506,135.6015364,137.8974887,139.411004
97.5,117.6858437,118.9638171,120.9606563,124.3774309,128.2947187,132.3437724,136.1046066,138.4096645,139.9289024
98.5,118.092048,119.3774239,121.3855185,124.8206679,128.757642,132.8254867,136.602351,138.9165546,140.4415378
99.5,118.4923693,119.7852171,121.8046703,125.2583572,129.2151839,133.3019713,137.0949894,139.4184075,140.9491785
100.5,118.8868959,120.1872927,122.2182208,125.6906338,129.6675143,133.7734371,137.5827768,139.9155075,141.4521292
101.5,119.2757403,120.5837721,122.6263066,126.1176628,130.1148354,134.2401302,138.0660041,140.4081749,141.9507308
102.5,119.6590402,120.9748035,123.029093,126.5396411,130.5573839,134.7023324,138.5449986,140.8967672,142.4453609
103.5,120.0369603,121.3605632,123.4267753,126.9567984,130.995432,135.1603626,139.0201256,141.3816789,142.936434
104.5,120.4096928,121.7412571,123.8195805,127.3693994,131.4292887,135.6145777,139.4917879,141.8633417,143.4244013
105.5,120.7774598,122.1171219,124.2077692,127.7777448,131.8593015,136.0653737,139.9604267,142.3422248,143.9097502
106.5,121.140514,122.4884272,124.5916364,128.1821733,132.2858574,136.5131864,140.4265216,142.818834,144.3930034
107.5,121.4991408,122.8554769,124.9715143,128.5830629,132.7093845,136.9584917,140.8905903,143.2937108,144.8747179
108.5,121.8536605,123.2186111,125.3477734,128.9808329,133.1303527,137.4018066,141.3531879,143.7674316,145.3554829
109.5,122.2044292,123.5782083,125.7208245,129.3759451,133.5492749,137.8436884,141.8149059,144.2406053,145.8359173
110.5,122.551842,123.9346869,126.0911208,129.7689053,133.9667073,138.2847346,142.2763706,144.7138712,146.3166671
111.5,122.8963342,124.2885075,126.4591593,130.1602643,134.3832499,138.7255822,142.7382405,145.1878952,146.798401
112.5,123.2383839,124.6401749,126.8254825,130.5506193,134.7995463,139.1669053,143.2012034,145.6633664,147.2818057
113.5,123.5785142,124.9902397,127.1906801,130.9406135,135.2162826,139.6094137,143.6659721,146.1409913,147.7675803
114.5,123.9172948,125.3393004,127.5553896,131.330937,135.634186,140.0538485,144.1332799,146.6214882,148.2564292
115.5,124.2553446,125.6880049,127.9202978,131.7223254,136.0540223,140.5009788,144.6038739,147.1055797,148.7490543
116.5,124.5933332,126.0370512,128.2861404,132.1155587,136.4765925,140.9515953,145.0785079,147.5939843,149.2461456
117.5,124.9319822,126.3871885,128.6537014,132.5114586,136.9027281,141.406504,145.5579335,148.0874065,149.7483713
118.5,125.2720662,126.7392174,129.0238124,132.9108849,137.3332846,141.8665172,146.0428902,148.586526,150.2563656
119.5,125.6144133,127.0939883,129.3973496,133.3147302,137.7691339,142.3324443,146.5340936,149.0919854,150.7707169
120.5,125.9599043,127.4524005,129.7752299,133.7239135,138.2111552,142.8050794,147.0322225,149.6043767,151.2919534
121.5,126.3094709,127.8153983,130.1584061,134.1393714,138.6602228,143.2851879,147.5379045,150.1242269,151.8205297
122.5,126.6640931,128.1839668,130.5478595,134.5620476,139.1171933,143.7734919,148.0517004,150.6519828,152.3568114
123.5,127.0247941,128.5591249,130.9445907,134.9928804,139.5828898,144.2706527,148.5740881,151.1879951,152.9010603
124.5,127.3926332,128.9419168,131.3496084,135.4327874,140.0580848,144.7772534,149.1054445,151.7325029,153.4534201
125.5,127.7686986,129.3334014,131.7639151,135.8826474,140.5434787,145.2937779,149.6460289,152.2856189,154.0139039
126.5,128.1540923,129.7346372,132.1884911,136.3432832,141.0396832,145.8205935,150.1959657,152.8473131,154.5823786
127.5,128.5499184,130.1466666,132.6242751,136.8154369,141.5471945,146.3579283,150.7552278,153.4174019,155.1585578
128.5,128.9572634,130.5704957,133.072142,137.299748,142.0663731,146.9058529,151.3236226,153.9955367,155.741993
129.5,129.3771753,131.0070717,133.5328789,137.7967284,142.59742,147.4642617,151.9007796,154.581196,156.3320686
130.5,129.8106385,131.4572565,134.0071586,138.3067365,143.1403553,148.0328573,152.4861414,155.1736815,156.9280012
131.5,130.2585454,131.9217986,134.4955119,138.8299523,143.6949981,148.6111378,153.0789588,155.7721177,157.5288429
132.5,130.7216652,132.4013028,134.9982982,139.3663536,144.2609497,149.1983881,153.6782905,156.3754566,158.1334886
133.5,131.2006102,132.8961979,135.5156778,139.9156938,144.8375809,149.7936767,154.2830074,156.9824866,158.740688
