Length,3rd,5th,10th,25th,50th,75th,90th,95th,98th
45,2.0665,2.1298,2.1973,2.3169,2.4607,2.6171,2.7699,2.8673,2.9671
45.5,2.1377,2.2032,2.2731,2.3969,2.5457,2.7076,2.8657,2.9665,3.0698
46,2.2088,2.2765,2.3488,2.4768,2.6306,2.798,2.9614,3.0657,3.1725
46.5,2.28,2.3499,2.4245,2.5567,2.7155,2.8883,3.0571,3.1648,3.2751
47,2.3513,2.4235,2.5004,2.6368,2.8007,2.979,3.1532,3.2643,3.3781
47.5,2.4234,2.4977,2.5771,2.7177,2.8867,3.0706,3.2502,3.3648,3.4822
48,2.4965,2.5732,2.655,2.7999,2.9741,3.1636,3.3488,3.4669,3.5879
48.5,2.5715,2.6505,2.7348,2.8841,3.0636,3.2589,3.4498,3.5714,3.6962
49,2.6488,2.7302,2.8171,2.971,3.156,3.3573,3.554,3.6794,3.808
49.5,2.7292,2.8131,2.9026,3.0613,3.252,3.4595,3.6623,3.7916,3.9242
50,2.8128,2.8992,2.9916,3.1552,3.3518,3.5658,3.7749,3.9082,4.045
50.5,2.8997,2.9889,3.0842,3.2529,3.4557,3.6764,3.8921,4.0297,4.1707
51,2.99,3.0821,3.1803,3.3544,3.5636,3.7913,4.0139,4.1558,4.3013
51.5,3.0836,3.1786,3.2799,3.4595,3.6754,3.9104,4.14,4.2865,4.4366
52,3.1804,3.2784,3.383,3.5683,3.7911,4.0336,4.2706,4.4218,4.5768
52.5,3.2803,3.3814,3.4893,3.6806,3.9105,4.1608,4.4054,4.5614,4.7213
53,3.383,3.4873,3.5986,3.796,4.0332,4.2914,4.5438,4.7048,4.8699
53.5,3.4883,3.5959,3.7107,3.9143,4.1591,4.4256,4.686,4.8521,5.0224
54,3.5957,3.7066,3.8251,4.0351,4.2875,4.5623,4.8309,5.0022,5.1779
54.5,3.7048,3.8191,3.9413,4.1577,4.4179,4.7012,4.9781,5.1547,5.3359
55,3.8151,3.9329,4.0587,4.2817,4.5498,4.8417,5.127,5.309,5.4957
55.5,3.9262,4.0476,4.1771,4.4067,4.6827,4.9833,5.2771,5.4645,5.6567
56,4.0379,4.1627,4.296,4.5322,4.8162,5.1255,5.4278,5.6206,5.8184
56.5,4.1498,4.2781,4.4151,4.658,4.95,5.268,5.5788,5.7771,5.9805
57,4.2616,4.3934,4.5342,4.7837,5.0837,5.4104,5.7298,5.9336,6.1425
57.5,4.3733,4.5087,4.6532,4.9093,5.2173,5.5527,5.8806,6.0898,6.3044
58,4.485,4.6238,4.772,5.0347,5.3507,5.6948,6.0312,6.2457,6.4658
58.5,4.596,4.7383,4.8902,5.1595,5.4834,5.8361,6.1809,6.4009,6.6265
59,4.7063,4.852,5.0076,5.2834,5.6151,5.9763,6.3295,6.5548,6.7859
59.5,4.8154,4.9645,5.1237,5.406,5.7454,6.1151,6.4765,6.707,6.9435
60,4.9232,5.0757,5.2385,5.5271,5.8742,6.2522,6.6218,6.8575,7.0994
60.5,5.0297,5.1855,5.3519,5.6468,6.0014,6.3876,6.7652,7.0061,7.2532
61,5.135,5.2941,5.4639,5.7649,6.127,6.5213,6.9068,7.1528,7.405
61.5,5.2391,5.4014,5.5746,5.8817,6.2511,6.6533,7.0466,7.2975,7.5549
62,5.342,5.5075,5.6841,5.9972,6.3738,6.7839,7.1848,7.4406,7.703
62.5,5.4437,5.6122,5.7922,6.1112,6.4948,6.9126,7.321,7.5816,7.8489
63,5.5441,5.7157,5.899,6.2238,6.6144,7.0398,7.4557,7.7209,7.9931
63.5,5.6436,5.8182,6.0047,6.3353,6.7328,7.1657,7.5889,7.8589,8.1358
64,5.7422,5.9199,6.1096,6.4458,6.8501,7.2904,7.7208,7.9954,8.277
64.5,5.8399,6.0205,6.2133,6.5551,6.9662,7.4138,7.8514,8.1305,8.4168
65,5.9367,6.1202,6.3162,6.6635,7.0812,7.536,7.9805,8.2641,8.555
65.5,6.0326,6.219,6.418,6.7708,7.195,7.6569,8.1084,8.3963,8.6917
66,6.1276,6.3168,6.5189,6.877,7.3076,7.7764,8.2347,8.527,8.8268
66.5,6.2213,6.4134,6.6185,6.9819,7.4189,7.8946,8.3597,8.6563,8.9604
67,6.3141,6.5089,6.7169,7.0856,7.5288,8.0113,8.4829,8.7837,9.0922
67.5,6.4059,6.6034,6.8143,7.1881,7.6375,8.1267,8.6048,8.9098,9.2225
68,6.4966,6.6968,6.9106,7.2894,7.7448,8.2405,8.725,9.034,9.3508
68.5,6.5862,6.7891,7.0057,7.3895,7.8509,8.3531,8.844,9.157,9.4779
69,6.675,6.8805,7.0999,7.4886,7.9559,8.4645,8.9615,9.2785,9.6034
69.5,6.7629,6.971,7.1932,7.5868,8.0599,8.5749,9.0781,9.3989,9.7279
70,6.8502,7.0608,7.2857,7.6841,8.163,8.6842,9.1934,9.5182,9.8511
70.5,6.9367,7.1498,7.3774,7.7805,8.2651,8.7924,9.3077,9.6362,9.973
71,7.0226,7.2383,7.4685,7.8764,8.3666,8.9,9.4212,9.7535,10.0942
71.5,7.1082,7.3264,7.5592,7.9718,8.4676,9.0071,9.5342,9.8702,10.2147
72,7.1933,7.414,7.6494,8.0666,8.5679,9.1134,9.6462,9.9859,10.3342
72.5,7.2777,7.5008,7.7388,8.1606,8.6674,9.2188,9.7575,10.1008,10.4529
73,7.3614,7.5869,7.8275,8.2538,8.7661,9.3234,9.8678,10.2148,10.5705
73.5,7.4443,7.6722,7.9154,8.3462,8.8638,9.4269,9.977,10.3275,10.687
74,7.5261,7.7564,8.002,8.4372,8.9601,9.5289,10.0844,10.4385,10.8014
74.5,7.6069,7.8394,8.0876,8.5271,9.0552,9.6296,10.1906,10.5482,10.9147
75,7.6867,7.9215,8.1721,8.6158,9.149,9.7289,10.2952,10.6561,11.0261
75.5,7.7655,8.0026,8.2556,8.7036,9.2418,9.8272,10.3988,10.7631,11.1365
76,7.8438,8.083,8.3384,8.7905,9.3337,9.9244,10.5012,10.8688,11.2455
76.5,7.9217,8.1632,8.4208,8.8771,9.4252,10.0212,10.6032,10.974,11.3541
77,7.9994,8.2431,8.5031,8.9636,9.5166,10.118,10.7051,11.0793,11.4627
77.5,8.0778,8.3237,8.5861,9.0506,9.6086,10.2153,10.8076,11.185,11.5718
78,8.157,8.4051,8.6698,9.1386,9.7015,10.3136,10.9111,11.2918,11.6819
78.5,8.2371,8.4875,8.7546,9.2277,9.7957,10.4133,11.0161,11.4002,11.7938
79,8.3187,8.5714,8.841,9.3183,9.8915,10.5146,11.1228,11.5103,11.9074
79.5,8.4019,8.6569,8.929,9.4107,9.9892,10.618,11.2318,11.6228,12.0234
80,8.4868,8.7443,9.019,9.5052,10.0891,10.7238,11.3432,11.7378,12.1421
80.5,8.574,8.8339,9.1113,9.6022,10.1916,10.8323,11.4575,11.8558,12.2639
81,8.6632,8.9257,9.2057,9.7014,10.2965,10.9433,11.5745,11.9766,12.3885
81.5,8.7546,9.0197,9.3025,9.8031,10.4041,11.0573,11.6947,12.1007,12.5166
82,8.8479,9.1157,9.4013,9.907,10.514,11.1737,11.8174,12.2274,12.6475
82.5,8.9431,9.2136,9.5022,10.0131,10.6263,11.2927,11.943,12.3572,12.7815
83,9.0403,9.3136,9.6053,10.1214,10.741,11.4143,12.0713,12.4897,12.9183
83.5,9.1393,9.4155,9.7102,10.2317,10.8578,11.5381,12.2019,12.6246,13.0577
84,9.2399,9.5191,9.8169,10.344,10.9767,11.6642,12.335,12.7622,13.1998
84.5,9.342,9.6242,9.9252,10.4579,11.0974,11.7922,12.4701,12.9019,13.3441
85,9.4454,9.7306,10.0349,10.5734,11.2198,11.9221,12.6074,13.0437,13.4907
85.5,9.5497,9.8381,10.1457,10.6901,11.3435,12.0535,12.7462,13.1873,13.6391
86,9.6552,9.9467,10.2576,10.8079,11.4684,12.1861,12.8862,13.332,13.7887
86.5,9.761,10.0556,10.37,10.9263,11.594,12.3195,13.0273,13.478,13.9397
87,9.8671,10.165,10.4828,11.0451,11.7201,12.4535,13.169,13.6246,14.0914
87.5,9.9732,10.2743,10.5955,11.1639,11.8461,12.5874,13.3106,13.7711,14.2429
88,10.079,10.3833,10.7079,11.2824,11.972,12.7213,13.4522,13.9177,14.3945
88.5,10.1844,10.4919,10.82,11.4007,12.0976,12.8549,13.5937,14.0642,14.5462
89,10.2895,10.6003,10.9318,11.5186,12.2229,12.9882,13.7349,14.2104,14.6975
89.5,10.3939,10.708,11.043,11.636,12.3477,13.1211,13.8757,14.3562,14.8485
90,10.4982,10.8156,11.154,11.7532,12.4723,13.2538,14.0163,14.5018,14.9993
90.5,10.6022,10.9227,11.2647,11.87,12.5965,13.386,14.1564,14.647,15.1496
