Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
60.5,14.34277271,14.70923661,15.31758235,16.47470852,18.02313904,19.95048336,22.14604136,23.75023626,24.94401317
61.5,14.47934293,14.85021811,15.46614444,16.63861163,18.20956418,20.16833747,22.40459718,24.04202158,25.26252369
62.5,14.61652406,14.9918623,15.61545325,16.80341543,18.3970876,20.38753372,22.66479513,24.33570429,25.5831532
63.5,14.75426001,15.13411929,15.76546914,16.96909934,18.58571243,20.60809964,22.92668027,24.63133325,25.90594748
64.5,14.89249907,15.27694359,15.91615695,17.13564756,18.77544728,20.83006969,23.19030686,24.92896835,26.23096473
65.5,15.03119376,15.42029408,16.06748615,17.30304956,18.966307,21.05348599,23.45573857,25.22868007,26.55827443
66.5,15.17030121,15.56413437,16.21943117,17.4713002,19.15831267,21.27839816,23.72304816,25.5305491,26.88795694
67.5,15.30978338,15.70843301,16.37197155,17.64039992,19.35149163,21.50486316,23.99231712,25.83466581,27.2201029
68.5,15.4496077,15.85316397,16.52509225,17.81035463,19.54587708,21.7329446,24.263635,26.14112991,27.55481321
69.5,15.5897467,15.99830645,16.67878363,17.98117606,19.74150854,21.96271325,24.53709941,26.45004964,27.89219758
70.5,15.73017845,16.1438452,16.83304163,18.15288153,19.93843145,22.19424627,24.8128152,26.76154129,28.2323743
71.5,15.87088741,16.28977109,16.98786798,18.32549376,20.13669623,22.42762598,25.09089343,27.07572865,28.57547042
72.5,16.01186303,16.43608019,17.14326985,18.49904125,20.33635961,22.66294138,25.3714519,27.39274198,28.92161906
73.5,16.15310112,16.58277468,17.29926017,18.67355775,20.53748298,22.90028597,25.65461346,27.71271759,29.27096042
74.5,16.29460329,16.72986243,17.4558574,18.84908224,20.74013277,23.13975807,25.94050589,28.03579694,29.62364011
75.5,16.43637669,16.87735682,17.61308542,19.02565892,20.94438028,23.38146064,26.22926131,28.36212579,29.97980811
76.5,16.57843458,17.02527707,17.77097356,19.20333679,21.15030093,23.62550009,26.52101516,28.69185351,30.33961853
77.5,16.72079656,17.17364841,17.92955656,19.38216922,21.35797332,23.87198507,26.815905,29.02513239,30.70322948
78.5,16.86348713,17.32250091,18.08887399,19.56221428,21.56748045,24.12102802,27.11407112,29.36211644,31.07080008
79.5,17.00653572,17.47186953,18.24897012,19.74353436,21.77890902,24.37274421,27.41565556,29.70296069,31.44248988
80.5,17.14997871,17.62179544,18.40989435,19.92619507,21.99234686,24.62724833,27.72079958,30.04782073,31.81846107
81.5,17.2938564,17.77232382,18.57170012,20.110266,22.20788541,24.88465774,28.02964533,30.39685131,32.19887352
82.5,17.43821437,17.92350474,18.73444512,20.29581981,22.4256177,25.14508981,28.3423338,30.75020585,32.58388611
83.5,17.58310295,18.07539265,18.89819089,20.48293203,22.64563824,25.40866182,28.65900443,31.10803553,32.97365535
84.5,17.72857693,18.2280462,19.06300261,20.67168066,22.86804258,25.67549032,28.97979428,31.47048848,33.3683346
85.5,17.87469542,18.38152794,19.22894873,20.86214582,23.09292679,25.94569055,29.30483741,31.83770901,33.76807319
86.5,18.02152302,18.53590513,19.39610118,21.05440884,23.32038549,26.21937378,29.63426278,32.2098371,34.17301785
87.5,18.16912246,18.69124428,19.56453273,21.24855446,23.55051871,26.49665657,29.96819988,32.58700628,34.5833014
88.5,18.31756871,18.84762137,19.73432134,21.44466518,23.78341652,26.77764034,30.30676532,32.96934568,34.99906317
89.5,18.46693089,19.00510849,19.90554403,21.64282737,24.01917703,27.06243533,30.65007797,33.35697585,35.42042208
90.5,18.61728653,19.16378421,20.07828129,21.84312554,24.25789074,27.35113996,30.99824532,33.75001097,35.84749737
91.5,18.76871394,19.32372789,20.25261432,22.04564463,24.49964778,27.64385046,31.3513695,34.14855665,36.28039703
92.5,18.92129383,19.48502077,20.42862531,22.25046892,24.74453536,27.94065757,31.70954484,34.55270981,36.71922013
93.5,19.07510898,19.64774563,20.60639712,22.45768158,24.99263735,28.24164611,32.07285742,34.96255799,37.16405609
94.5,19.23024402,19.8119865,20.7860129,22.6673643,25.24403371,28.54689431,32.44138436,35.37817885,37.61498429
95.5,19.38678267,19.9778266,20.96755499,22.87959773,25.49880264,28.85647669,32.81519554,35.79963916,38.07206991
96.5,19.54481057,20.14535023,21.15110555,23.09445998,25.7570168,29.17045929,33.19435025,36.2269949,38.53536809
97.5,19.70441527,20.31464276,21.33674635,23.31202608,26.01874261,29.4888987,33.5788965,36.66029091,39.00492396
98.5,19.86568272,20.48578791,21.52455736,23.53236883,26.28404312,29.8118461,33.9688734,37.09955982,39.48076746
99.5,20.02869944,20.65886924,21.71461721,23.75555744,26.55297507,30.13934341,34.3643086,37.54482215,39.96291669
100.5,20.19355165,20.83396942,21.90700268,23.98165745,26.82558904,30.47142364,34.76521834,37.99608589,40.45137672
101.5,20.36032458,21.01116968,22.10178826,24.21073043,27.1019295,30.80811106,35.17160751,38.45334608,40.94613881
102.5,20.52910239,21.19054959,22.29904589,24.44283365,27.38203422,31.14942058,35.58346914,38.91658465,41.44718044
103.5,20.6999678,21.37218677,22.49884459,24.67801969,27.66593402,31.49535747,36.00078421,39.38577014,41.95446506
104.5,20.8730018,21.55615653,22.7012502,24.9163362,27.9536524,31.8459171,36.42352136,39.86085756,42.46794195
105.5,21.04828336,21.74253164,22.90632506,25.15782551,28.24520531,32.20108468,36.85163675,40.3417882,42.98754609
106.5,21.22588911,21.93138197,23.1141277,25.40252443,28.54060085,32.56083507,37.28507392,40.82848957,43.51319807
107.5,21.40589307,22.12277423,23.32471257,25.65046392,28.83983907,32.92513255,37.72376365,41.32087531,44.04480409
108.5,21.58836636,22.31677169,23.53812979,25.90166889,29.14291171,33.29393074,38.16762389,41.8188452,44.58225593
109.5,21.77337689,22.51343388,23.75442484,26.15615792,29.44980208,33.66717239,38.61655976,42.32228515,45.12543098
110.5,21.96098914,22.71281638,23.97363834,26.41394306,29.76048479,34.04478937,39.0704635,42.83106725,45.67419242
111.5,22.15126389,22.91497052,24.19580583,26.67502964,30.0749257,34.42670255,39.52921454,43.34504991,46.22838923
112.5,22.34425792,23.11994316,24.4209575,26.93941607,30.39308176,34.8128218,39.99267955,43.86407795,46.78785646
